"","ID","AIC_quadratic","BIC_quadratic","AIC_logistic","BIC_logistic","r_max","K","N_0"
"28",28,-52.9471222906376,-48.405145426921,-0.458326491362534,4.08365037235406,0.000945376538674163,-365575.617952604,0.349235782173681
"29",29,-63.4526233908206,-58.910646527104,-41.3408720200183,-36.7988951563017,0.000613689212361911,-338092.13593842,0.151815940381321
"30",30,-78.6303050314647,-74.0883281677481,-48.9405744548599,-44.3985975911433,0.00130691258576541,-1416664.92333595,0.158306155269085
"31",31,-78.7882214412179,-74.6101316903242,-67.0998924872276,-62.9218027363339,4.94597141688623e-05,-1444.96471929905,0.191314797273172
"32",32,-79.6341211397285,-74.7586178402557,-60.9420467687768,-56.066543469304,0.000156184090153445,-672314.617844155,0.122527159889763
"33",33,-80.8654037856738,-76.3234269219572,-50.9153208722269,-46.3733440085103,0.000411258971403776,-399449.282476264,0.152637135556009
"34",34,-68.3971327175269,-63.8551558538103,-37.0465296093439,-32.5045527456273,-0.00011707019152352,-3969665.02082228,0.202875044444837
"35",35,-27.5082244840657,-21.6452808728667,4.39176686443407,10.254710475633,0.00156649644243009,-1225317.09926727,0.445825340793667
"36",36,-20.5487277458938,-15.673224446421,1.70854366417722,6.58404696365002,0.000281288151486178,-168013.557104351,0.404852981013506
"37",37,-28.2747742443265,-23.7327973806099,-13.8721199130033,-9.33014304928668,0.000427339228926095,2815072.18661716,0.421421140366826
"38",38,-19.2009785176701,-14.6590016539535,-2.88186023021957,1.66011663349703,-4.2615799666843e-06,15494145.7997967,0.354120917499212
"39",39,-21.6425399831922,-17.1005631194756,1.6061862525287,6.1481631162453,-0.000139058551838281,-710890.424780575,0.494425411163684
"40",40,-87.0172087311545,-82.8391189802608,-72.7330764934807,-68.554986742587,-0.000264039460766405,-13910.0802311483,0.124325065786138
"41",41,-83.6423989295339,-79.2782291161006,-55.1393812843517,-50.7752114709184,0.00119350850000769,-1345760.41682708,0.131178526817343
"42",42,-29.3875630542458,-23.5246194430469,1.64307778291514,7.50602139411404,0.00183847142703863,-2349907.54910623,0.375337956461072
"43",43,-156.048710245282,-151.870620494388,-68.0491649763097,-63.871075225416,0.00244643161011497,-2572598.11865578,0.0808928947961755
"44",44,-54.8262073226424,-50.2842304589258,-8.07498035781366,-3.53300349409706,0.000485669084918189,-88525.00838688,0.274406670159755
"45",45,-60.3329740803645,-58.3933474812125,-25.9734568319194,-24.0338302327674,0.00798409429472203,-6293163.61533622,0.0852876800191189
"46",46,-65.9996856300731,-62.6668322538483,1.88986728799624,5.2227206642211,0.00452613104137882,-10430050.0866515,0.342141879917479
"47",47,-23.0945769930845,-20.2623761886757,-3.01648959295123,-0.184288788542394,0.00723560055146271,-4763406.96648886,0.156262027136373
"48",48,-10.6706660180912,-7.83846521368234,-0.0701775810013956,2.76202322340744,0.00736433199011089,-11840487.1470008,0.147757701396041
"49",49,-96.5976364096234,-94.0414070911623,-33.1493758946127,-30.5931465761517,0.00869265669733709,-4450133.01481714,0.0681226246274145
